Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,1,454.0,18.0
3,0,0,0
4,0,0,0
5,1,448.0,106.0
6,1,445.0,128.0
7,1,446.0,157.0
8,1,445.0,184.0
9,1,442.0,214.0
10,1,443.0,240.0
11,1,442.0,270.0
12,1,442.0,302.0
13,1,443.0,328.0
14,1,443.0,344.0
15,1,446.0,327.0
16,1,447.0,319.0
17,1,449.0,317.0
18,1,452.0,318.0
19,1,453.0,317.0
20,1,454.0,319.0
21,1,453.0,320.0
22,1,457.0,324.0
23,1,456.0,328.0
24,1,459.0,335.0
25,1,461.0,340.0
26,1,461.0,346.0
27,1,461.0,357.0
28,1,462.0,363.0
29,1,463.0,372.0
30,1,463.0,365.0
31,1,464.0,347.0
32,1,462.0,331.0
33,1,460.0,325.0
34,1,458.0,321.0
35,1,456.0,317.0
36,1,458.0,312.0
37,1,460.0,310.0
38,1,457.0,309.0
39,1,455.0,308.0
40,1,451.0,311.0
41,1,452.0,314.0
42,1,454.0,319.0
43,1,452.0,324.0
44,1,452.0,333.0
45,1,450.0,341.0
46,1,448.0,349.0
47,1,446.0,362.0
48,1,446.0,374.0
49,1,445.0,386.0
50,1,444.0,399.0
51,1,441.0,417.0
52,1,440.0,433.0
53,1,438.0,447.0
54,1,440.0,469.0
55,1,436.0,488.0
56,0,0,0
57,1,442.0,334.0
58,1,452.0,253.0
59,1,454.0,192.0
60,1,459.0,147.0
61,1,463.0,109.0
62,0,0,0
63,1,469.0,36.0
64,1,470.0,12.0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,1,508.0,291.0
82,1,499.0,314.0
83,1,491.0,332.0
84,1,482.0,352.0
85,1,477.0,371.0
86,1,470.0,386.0
87,1,466.0,408.0
88,1,458.0,425.0
89,1,454.0,439.0
90,0,0,0
91,1,508.0,362.0
92,1,527.0,317.0
93,1,546.0,284.0
94,1,566.0,260.0
95,1,579.0,244.0
96,1,587.0,232.0
97,1,597.0,217.0
98,1,604.0,209.0
99,1,611.0,203.0
100,1,620.0,200.0
101,1,627.0,197.0
102,1,633.0,193.0
103,1,640.0,196.0
104,1,645.0,197.0
105,1,650.0,199.0
106,1,656.0,202.0
107,1,637.0,215.0
108,1,620.0,224.0
109,1,607.0,231.0
110,1,593.0,245.0
111,1,583.0,256.0
112,1,571.0,265.0
113,1,566.0,275.0
114,1,560.0,292.0
115,1,550.0,303.0
116,1,543.0,315.0
117,1,536.0,329.0
118,1,530.0,344.0
119,1,525.0,362.0
120,1,515.0,378.0
121,1,511.0,399.0
122,1,507.0,415.0
123,1,501.0,430.0
124,1,494.0,448.0
125,1,489.0,468.0
126,1,487.0,479.0
127,0,0,0
128,0,0,0
129,1,475.0,404.0
130,1,472.0,385.0
131,1,474.0,370.0
132,1,475.0,358.0
133,1,472.0,353.0
134,1,476.0,345.0
135,1,471.0,340.0
136,1,472.0,335.0
137,1,470.0,331.0
138,1,468.0,332.0
139,1,466.0,332.0
140,1,468.0,332.0
141,1,467.0,332.0
142,1,469.0,340.0
143,1,468.0,345.0
144,0,0,0
145,1,469.0,362.0
146,1,470.0,370.0
147,1,467.0,380.0
148,1,468.0,390.0
149,1,469.0,399.0
150,1,468.0,416.0
151,1,469.0,427.0
152,1,471.0,436.0
153,1,503.0,368.0
154,1,523.0,331.0
155,1,546.0,295.0
156,1,568.0,265.0
157,1,580.0,235.0
158,1,598.0,211.0
159,1,608.0,188.0
160,1,624.0,180.0
161,1,636.0,162.0
162,1,648.0,146.0
163,1,658.0,136.0
