frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,627.2599,432.06232,630.72144,426.86993,625.52905,426.86993,622.06744,430.33154,637.64465,432.06232,615.1443,447.63953,644.5679,449.3703,603.0287,470.1399,654.95264,473.6015,603.0287,477.0631,660.145,487.44794,616.87506,494.3711,635.9139,496.10193,604.75946,532.44867,649.76025,530.7179,594.37463,570.5263,658.41425,568.7955
1,627.3891,430.6269,630.888,425.37842,629.13855,425.37842,622.1407,430.6269,637.8859,430.6269,615.14276,446.37213,644.88385,448.12164,602.8964,467.36584,655.3807,472.61426,602.8964,474.36377,658.87964,486.61005,616.8922,491.85852,637.8859,495.35742,606.3954,528.5975,651.8817,528.5975,595.8985,565.3364,660.6291,567.08594
2,628.7168,431.59955,632.15906,428.1573,628.7168,428.1573,623.5534,431.59955,639.04364,431.59955,616.6689,447.08978,645.92816,448.8109,601.17865,469.46454,657.97614,474.62793,602.8998,474.62793,661.4184,488.39703,618.39,493.56042,639.04364,495.28156,606.34204,529.7043,652.8127,527.98315,594.2941,565.84814,663.1395,567.5693
3,630.2464,434.72104,631.9335,429.65988,631.9335,431.34695,623.49817,433.03397,640.3688,434.72104,616.75,449.9045,647.11694,451.59158,601.56647,471.83627,657.2393,476.89743,601.56647,476.89743,660.6134,490.39383,618.437,495.45505,640.3688,497.14206,604.9406,529.19617,655.55225,529.19617,593.1312,564.62427,667.36163,566.3113
4,631.74384,438.31387,633.3587,435.0842,630.12897,435.0842,625.2844,438.31387,641.4329,438.31387,617.2102,452.8475,647.8923,454.46237,602.6766,473.84048,655.9665,480.2999,601.06177,483.52957,664.0408,494.83347,618.8251,498.0632,639.81805,499.678,604.29144,535.2046,657.58136,530.36005,588.143,567.5015,672.115,567.5015
5,634.65326,446.46863,636.23724,443.30066,634.65326,441.7166,626.7332,444.88464,642.57324,444.88464,618.81323,460.7246,648.90924,462.3086,604.55725,481.3166,656.8292,487.6526,601.3892,490.82062,664.7492,500.3246,618.81323,503.4926,639.4052,505.0766,602.97327,538.3406,661.58124,533.58856,582.3813,571.60455,679.0052,568.4365
6,638.29315,453.34216,636.63055,451.67963,638.29315,451.67963,629.98035,453.34216,644.94336,453.34216,620.00507,468.30518,649.931,469.9677,608.3671,489.9184,659.9064,494.90607,603.37946,499.89374,669.8817,508.20648,620.00507,511.53162,639.9557,511.53162,601.7169,543.1202,666.5566,536.47,580.1037,574.70874,684.84467,569.72107
7,642.66394,460.9488,639.34186,459.28778,642.66394,457.6267,634.35876,459.28778,649.3081,459.28778,626.0535,474.23712,654.2912,475.89813,612.76526,494.16962,664.25745,500.81378,606.1211,510.78003,677.5458,515.7631,621.07043,517.42413,641.0029,520.7463,602.799,545.66187,669.2406,537.3566,581.20544,575.56055,687.512,570.57745
8,649.36816,463.9994,645.90216,460.5334,649.36816,460.5334,642.43616,462.26636,656.3002,462.26636,632.03815,477.8634,661.49915,479.59637,619.9071,500.3924,673.6302,507.3244,614.7081,515.98944,687.4942,522.92145,625.10614,521.1884,645.90216,522.92145,606.0431,545.45044,673.6302,536.78546,580.0481,576.64453,685.7612,574.9115
9,657.48755,464.78998,653.8533,462.97284,664.7561,462.97284,650.2191,462.97284,664.7561,464.78998,642.95056,477.50983,670.2074,479.32697,632.04785,499.3153,682.92725,506.58374,624.7794,513.85223,697.46423,522.93787,633.865,522.93787,653.8533,524.755,608.4253,546.5604,679.2931,537.47485,582.9856,573.81726,686.5615,575.6344
10,674.4962,461.19904,664.984,459.29657,672.59375,459.29657,659.27673,461.19904,672.59375,461.19904,651.66693,476.41852,678.3011,478.32098,640.2523,497.34534,689.7157,503.05267,632.6426,497.34534,706.83765,518.27216,642.1548,522.077,661.17914,523.9795,619.3255,546.8087,685.9108,535.3941,588.8865,573.4429,687.8133,575.3453
11,683.26605,454.33038,679.43024,452.41248,681.34814,454.33038,667.9228,458.1662,681.34814,458.1662,660.25116,475.42737,687.10187,475.42737,646.8258,494.60645,692.8556,496.52435,652.5795,490.77063,713.9526,508.0318,652.5795,521.45715,669.8407,523.37506,627.6467,550.22577,692.8556,534.8825,600.796,575.15857,687.10187,573.24066
12,690.70935,451.76648,689.1571,450.21423,689.1571,450.21423,675.187,454.8709,687.60486,453.31866,670.5303,470.3933,692.2616,470.3933,653.4557,484.3634,690.70935,490.5724,661.21686,479.70673,707.78394,493.67682,661.21686,516.9604,679.8437,518.51263,641.0378,549.5574,696.91833,534.035,619.30646,577.49756,689.1571,572.8409
13,696.58484,445.56564,695.00684,443.98764,695.00684,445.56564,680.80493,448.7216,691.8508,450.2996,676.0709,462.92355,695.00684,467.65756,666.6029,470.8135,687.11694,488.17148,677.6489,466.07956,710.78687,485.01547,669.7589,510.2634,685.53894,511.8414,657.135,544.97925,698.16284,537.08936,642.933,581.2732,690.2728,571.8052
14,704.3738,445.3225,701.1886,442.1374,701.1886,442.1374,688.44806,445.3225,699.59607,446.9151,683.67035,461.24823,696.4109,464.4334,693.22577,477.17395,685.2629,486.72943,707.5589,473.98883,704.3738,477.17395,677.30005,507.43286,691.6332,509.02545,674.11487,542.4694,699.59607,537.6917,667.7446,571.13574,694.81836,571.13574
15,708.9311,440.30896,705.6245,438.6557,705.6245,438.6557,694.05145,446.92212,703.9712,445.26886,694.05145,458.49518,702.31793,465.10834,694.05145,441.96228,689.09155,483.29462,700.6646,430.38922,700.6646,475.02814,684.1317,501.48077,697.35803,501.48077,687.4383,541.15985,707.2778,536.19995,684.1317,580.83887,702.31793,570.9191
16,715.79004,439.36362,710.84985,436.07016,712.4966,437.7169,697.6761,444.3038,707.5564,442.65707,694.3826,462.41776,702.6162,465.7112,692.7359,450.89072,692.7359,487.11862,702.6162,427.83652,702.6162,475.59158,691.0892,505.23264,704.26294,506.87936,694.3826,541.4606,722.37695,533.227,687.7957,582.6287,712.4966,571.1017
17,719.2164,439.2498,717.5654,435.94797,717.5654,437.5989,702.7074,444.20248,712.6128,442.55154,707.6601,457.40958,707.6601,465.66403,706.0092,483.82388,702.7074,490.42746,712.6128,465.66403,710.96185,477.2203,699.40564,505.2855,710.96185,505.2855,697.75476,543.25604,737.37616,533.3507,684.5476,581.22656,722.5181,568.0194
18,722.13403,438.96448,720.4791,435.65485,718.82434,437.30963,707.2407,445.58374,715.5148,443.9289,708.8955,455.51257,717.16956,463.78662,702.27625,452.20294,718.82434,490.2636,718.82434,457.16742,715.5148,467.09625,705.5858,503.50214,718.82434,505.15692,697.31177,543.2176,750.26575,533.2887,685.72815,577.9686,733.71765,564.7301
