frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,532.4359,317.7467,534.82684,314.1603,530.045,314.1603,540.8042,315.35577,527.65405,315.35577,547.9769,326.11496,530.045,329.70135,564.71344,336.87415,537.2178,347.63333,563.518,356.0016,534.82684,359.58798,564.71344,356.0016,550.3679,361.9789,570.6908,385.8882,543.1951,381.10635,591.0137,400.23376,550.3679,407.40656
1,533.37933,316.5606,535.7736,312.96918,530.985,312.96918,541.7594,314.16632,527.39355,315.36346,548.9423,326.13788,529.78784,329.7293,565.7025,336.91223,538.16797,346.4895,564.5054,356.06677,534.5765,359.6582,560.9139,356.06677,548.9423,359.6582,565.7025,384.79846,540.56226,378.81268,586.0542,401.55865,550.13947,406.3473
2,533.56104,316.64758,536.0145,312.9674,531.1076,312.9674,542.14813,315.42087,528.6542,314.19412,548.2818,326.46143,531.1076,328.9149,565.456,337.50198,537.2413,347.31583,564.2293,357.12964,534.7878,360.80984,556.8689,355.90292,544.6016,359.5831,563.00256,384.11768,538.46796,376.7573,580.17676,404.97208,547.05505,403.74533
3,533.8381,317.4424,536.2415,313.83722,531.4346,315.03897,542.2502,315.03897,529.0311,316.2407,549.4605,327.05624,531.4346,329.45972,565.083,340.27527,535.0398,345.08218,563.8813,358.3012,533.8381,360.70468,556.6709,358.3012,544.6536,359.50293,560.2761,387.14273,537.44324,376.32715,572.2934,411.17728,545.85535,402.7652
4,534.52795,319.82007,536.8835,316.2867,532.17236,316.2867,542.7724,318.6423,529.81683,318.6423,549.8391,330.4201,530.99457,332.77567,565.15027,343.37573,534.52795,349.26462,561.61694,362.22025,530.99457,366.93137,556.9058,362.22025,545.128,362.22025,558.0836,386.95367,534.52795,375.17584,565.15027,415.22046,541.5946,403.44263
5,534.2971,322.3402,537.8245,319.98862,533.12134,319.98862,542.5277,321.16443,530.7698,321.16443,550.7583,334.0982,531.94556,336.4498,564.8679,348.2078,534.2971,351.7352,560.16473,365.8448,530.7698,364.66898,555.46155,364.66898,542.5277,363.4932,555.46155,389.36075,533.12134,376.42697,558.9889,416.40414,537.8245,402.29456
6,535.5923,325.15674,537.7614,322.9876,533.4231,322.9876,543.18427,325.15674,531.25397,325.15674,550.77625,338.17163,532.33856,340.34076,562.70654,353.35565,533.4231,355.52478,558.3683,370.7088,526.9157,370.7088,558.3683,369.6242,546.438,369.6242,551.86084,392.4002,530.16943,378.30078,559.4529,419.51453,534.5077,404.3305
7,534.1985,327.7005,537.34656,325.6018,533.1491,325.6018,542.5933,327.7005,532.0998,328.74988,549.9388,341.3421,534.1985,342.39142,561.4817,357.0824,533.1491,356.03302,557.28424,373.872,524.75433,368.62524,560.4323,372.8227,546.7907,371.77332,547.8401,394.85907,530.0011,381.21753,559.383,421.0929,535.24786,407.4513
8,534.78345,326.2445,538.0099,324.09354,533.70795,324.09354,542.3118,327.31998,531.55695,327.31998,549.8402,341.30127,533.70795,341.30127,561.67053,355.28253,532.63245,355.28253,558.4441,371.4148,522.9531,368.18835,556.2931,372.4903,545.53827,371.4148,547.6892,395.07544,529.406,383.24512,559.51953,419.81155,536.9344,410.1322
9,534.70074,324.92383,536.91095,322.71365,532.4906,323.81876,542.43634,324.92383,531.3855,326.02893,549.06683,338.18484,532.4906,338.18484,563.433,348.1306,531.3855,353.65604,557.90753,364.70688,522.54486,365.81195,556.8024,371.33737,545.7516,370.2323,550.17194,392.33398,529.17535,383.49332,559.01263,419.9611,538.016,411.12042
