frame 0
pose 0
523.50085 431.94775 0.6706075
521.6395 430.08643 0.5542989
523.50085 430.08643 0.711145
508.61035 431.94775 0.89977276
525.3622 431.94775 0.9356099
503.02637 446.83826 0.9230163
529.0848 448.6996 0.8996649
488.13586 461.72876 0.95381266
555.1432 458.00616 0.92535084
503.02637 450.5609 0.75667614
557.0045 444.977 0.89013946
504.8877 495.23242 0.7530263
521.6395 497.09375 0.7955053
510.47162 539.904 0.88494635
523.50085 538.04266 0.8488434
508.61035 577.13025 0.8453454
516.0556 578.9916 0.85036105
pose 1
637.2165 328.90186 0.91371197
638.57666 326.18158 0.89376
637.2165 326.18158 0.86932015
646.7375 326.18158 0.9250662
641.29694 326.18158 0.56931806
652.17804 335.70255 0.90988785
648.0976 338.42282 0.72810596
645.3773 345.2235 0.85093546
637.2165 342.50323 0.7085148
627.69556 338.42282 0.8571686
626.3354 337.06268 0.632706
661.699 377.86685 0.82617986
656.2584 379.22696 0.742698
658.9787 410.51016 0.8941042
656.2584 410.51016 0.80930096
658.9787 437.71292 0.86066854
658.9787 436.35275 0.8206007
pose 2
458.26215 231.24297 0.7236255
461.0055 227.58519 0.7480687
457.34772 227.58519 0.75929874
462.8344 228.49965 0.6339536
454.60437 228.49965 0.620039
470.15002 243.13081 0.662266
448.20325 243.13081 0.64675105
476.55115 258.67645 0.5472352
442.71655 258.67645 0.6282626
473.8078 273.30762 0.7213407
442.71655 271.4787 0.67931473
466.4922 276.05096 0.6432919
451.86102 276.05096 0.6914698
464.66327 297.99768 0.5054414
451.86102 297.08325 0.6103697
464.66327 319.02997 0.40150443
451.86102 319.02997 0.45130008
pose 3
187.62846 240.6352 0.76984686
189.53731 237.77194 0.76686794
186.67404 237.77194 0.749038
192.40056 240.6352 0.7184459
182.85635 238.72635 0.6500631
199.0815 251.13382 0.74769
178.08426 252.08826 0.74886024
204.80803 263.5413 0.716848
172.35773 266.40454 0.65097296
204.80803 274.03992 0.66109467
176.17542 276.90317 0.27565482
198.12709 281.67526 0.6312184
184.7652 280.72086 0.6096788
199.0815 302.67252 0.45208552
186.67404 303.62695 0.528778
205.76244 315.08 0.33917177
